date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:56:14	826/826	---MC-	403	error ('Bad%20Behavior')	text/html	date:Tue,%2003%20Sep%202019%2002:56:11%20GMT	http://www.comebackearlytoday.com/contact/	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/contact/index.html	(from http://www.comebackearlytoday.com/)
21:56:14	827/827	---M--	403	error ('Bad%20Behavior')	text/html	date:Tue,%2003%20Sep%202019%2002:56:12%20GMT	http://www.comebackearlytoday.com/wp-admin/	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/wp-admin/index.html	(from http://www.comebackearlytoday.com/)
21:56:14	739219/739219	---M--	200	added ('OK')	image/jpeg	etag:%22b4793-4a849971a3a00%22	https://www.comebackearlytoday.com/wp-content/uploads/2011/07/Marie_Color_Bust_Smiling-e1310933928453.jpg	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/wp-content/uploads/2011/07/Marie_Color_Bust_Smiling-e1310933928453.jpg	(from http://www.comebackearlytoday.com/)
21:56:14	334/334	---M--	200	added ('OK')	application/javascript	etag:%2214e-4ca2df1a05bc0%22	https://www.comebackearlytoday.com/wp-content/themes/cbet/die.js?ver=5.2.2	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/wp-content/themes/cbet/diebb49.js	(from http://www.comebackearlytoday.com/)
21:56:16	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%222748-535cd3a480cc0-gzip%22	http://www.comebackearlytoday.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://www.comebackearlytoday.com/)
21:56:16	96873/96873	---MCZ	200	added ('OK')	application/javascript	etag:%2217a69-58b22c0d62c13-gzip%22	http://www.comebackearlytoday.com/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/wp-includes/js/jquery/jquery4a5f.js	(from http://www.comebackearlytoday.com/)
21:56:17	286/286	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2003%20Sep%202019%2002:56:17%20GMT	https://comebackearlytoday.com/wp-content/themes/cbet/scripts.js?ver=5.2.2	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/comebackearlytoday.com/wp-content/themes/cbet/scripts.19bb49.delayed	(from http://www.comebackearlytoday.com/)
21:56:17	374/374	---M--	200	added ('OK')	application/javascript	etag:%22176-4ca2df1af9e00%22	https://www.comebackearlytoday.com/wp-content/themes/cbet/scripts.js?ver=5.2.2	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/wp-content/themes/cbet/scriptsbb49.js	(from http://www.comebackearlytoday.com/)
21:56:18	11803/11803	---M-Z	200	added ('OK')	application/javascript	etag:%222e1b-517663b818400-gzip%22	http://www.comebackearlytoday.com/wp-content/plugins/lightbox-plus/js/jquery.colorbox.1.5.9-min.js?ver=1.5.9	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/wp-content/plugins/lightbox-plus/js/jquery.colorbox.1.5.9-min7fb9.js	(from http://www.comebackearlytoday.com/)
21:56:18	1403/1403	---M-Z	200	added ('OK')	application/javascript	etag:%2257b-57cdefaee1251-gzip%22	http://www.comebackearlytoday.com/wp-includes/js/wp-embed.min.js?ver=5.2.2	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/wp-includes/js/wp-embed.minbb49.js	(from http://www.comebackearlytoday.com/)
21:56:18	1055/1055	---M-Z	200	added ('OK')	application/javascript	etag:%2241f-4fde20e2b5640-gzip%22	http://www.comebackearlytoday.com/wp-content/plugins/wp-google-analytics/wp-google-analytics.js?ver=0.0.3	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/wp-content/plugins/wp-google-analytics/wp-google-analyticse0bd.js	(from http://www.comebackearlytoday.com/)
21:56:18	29295/29295	---M-Z	200	added ('OK')	text/css	etag:%22726f-58b22c0cb6e18-gzip%22	http://www.comebackearlytoday.com/wp-includes/css/dist/block-library/style.min.css?ver=5.2.2	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/wp-includes/css/dist/block-library/style.minbb49.css	(from http://www.comebackearlytoday.com/)
21:56:19	264/264	---M-Z	200	added ('OK')	text/css	etag:%22108-53f4363fec4e5-gzip%22	http://www.comebackearlytoday.com/wp-content/plugins/share-this/css/style.css?ver=5.2.2	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/wp-content/plugins/share-this/css/stylebb49.css	(from http://www.comebackearlytoday.com/)
21:56:19	2033/2033	---M--	200	added ('OK')	image/png	etag:%227f1-517663b818400%22	http://www.comebackearlytoday.com/wp-content/plugins/lightbox-plus/css/framed/images/controls.png	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/wp-content/plugins/lightbox-plus/css/framed/images/controls.png	(from http://www.comebackearlytoday.com/wp-content/plugins/wp-minify/min/?f=wp-content/plugins/lightbox-plus/css/framed/colorbox.min.css&m=1433102736)
21:56:19	163/163	---M--	200	added ('OK')	image/png	etag:%22a3-517663b818400%22	http://www.comebackearlytoday.com/wp-content/plugins/lightbox-plus/css/framed/images/border.png	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/wp-content/plugins/lightbox-plus/css/framed/images/border.png	(from http://www.comebackearlytoday.com/wp-content/plugins/wp-minify/min/?f=wp-content/plugins/lightbox-plus/css/framed/colorbox.min.css&m=1433102736)
21:56:19	166/166	---M--	200	added ('OK')	image/png	etag:%22a6-517663b818400%22	http://www.comebackearlytoday.com/wp-content/plugins/lightbox-plus/css/framed/images/loading_background.png	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/wp-content/plugins/lightbox-plus/css/framed/images/loading_background.png	(from http://www.comebackearlytoday.com/wp-content/plugins/wp-minify/min/?f=wp-content/plugins/lightbox-plus/css/framed/colorbox.min.css&m=1433102736)
21:56:20	9427/9427	---M--	200	added ('OK')	image/gif	etag:%2224d3-517663b818400%22	http://www.comebackearlytoday.com/wp-content/plugins/lightbox-plus/css/framed/images/loading.gif	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/wp-content/plugins/lightbox-plus/css/framed/images/loading.gif	(from http://www.comebackearlytoday.com/wp-content/plugins/wp-minify/min/?f=wp-content/plugins/lightbox-plus/css/framed/colorbox.min.css&m=1433102736)
21:56:20	4997/4997	---M--	200	added ('OK')	image/png	etag:%221385-4ca2df2947fc0%22	http://img.comebackearlytoday.com/wp-content/themes/cbet/images/outer_background.png	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/img.comebackearlytoday.com/wp-content/themes/cbet/images/outer_background.png	(from https://www.comebackearlytoday.com/wp-content/themes/cbet/style.css)
21:56:20	4987/4987	---M--	200	added ('OK')	image/png	etag:%22137b-4ca2df2a3c200%22	http://img.comebackearlytoday.com/wp-content/themes/cbet/images/inner_background.png	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/img.comebackearlytoday.com/wp-content/themes/cbet/images/inner_background.png	(from https://www.comebackearlytoday.com/wp-content/themes/cbet/style.css)
21:56:21	2211/2211	---M--	200	added ('OK')	image/png	etag:%228a3-4ca2df2a3c200%22	http://img.comebackearlytoday.com/wp-content/themes/cbet/images/sprite.png	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/img.comebackearlytoday.com/wp-content/themes/cbet/images/sprite.png	(from https://www.comebackearlytoday.com/wp-content/themes/cbet/style.css)
21:56:22	1001/1001	---M--	200	added ('OK')	image/jpeg	etag:%223e9-4ca2df2a3c200%22	http://img.comebackearlytoday.com/wp-content/themes/cbet/images/sidebar_bottom.jpg	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/img.comebackearlytoday.com/wp-content/themes/cbet/images/sidebar_bottom.jpg	(from https://www.comebackearlytoday.com/wp-content/themes/cbet/style.css)
21:56:24	7088/7088	---M--	200	added ('OK')	image/png	etag:%221bb0-4ca2df2a3c200%22	http://img.comebackearlytoday.com/wp-content/themes/cbet/images/bkgnd-subscribe.png	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/img.comebackearlytoday.com/wp-content/themes/cbet/images/bkgnd-subscribe.png	(from https://www.comebackearlytoday.com/wp-content/themes/cbet/style.css)
21:56:24	14902/14902	---M--	200	added ('OK')	image/jpeg	etag:%223a36-4ca2df2a3c200%22	http://img.comebackearlytoday.com/wp-content/themes/cbet/images/sidebar_top.jpg	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/img.comebackearlytoday.com/wp-content/themes/cbet/images/sidebar_top.jpg	(from https://www.comebackearlytoday.com/wp-content/themes/cbet/style.css)
21:56:26	46960/46960	---M--	200	added ('OK')	image/jpeg	etag:%22b770-4ca2df2947fc0%22	http://img.comebackearlytoday.com/wp-content/themes/cbet/images/header.jpg	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/img.comebackearlytoday.com/wp-content/themes/cbet/images/header.jpg	(from https://www.comebackearlytoday.com/wp-content/themes/cbet/style.css)
21:56:26	85369/85369	---M--	200	added ('OK')	image/png	etag:%2214d79-4ca2df2a3c200%22	http://img.comebackearlytoday.com/wp-content/themes/cbet/images/BuyTheBook.png	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/img.comebackearlytoday.com/wp-content/themes/cbet/images/BuyTheBook.png	(from https://www.comebackearlytoday.com/wp-content/themes/cbet/style.css)
21:56:26	828/828	---MC-	403	error ('Bad%20Behavior')	text/html	date:Tue,%2003%20Sep%202019%2002:56:24%20GMT	https://www.comebackearlytoday.com/robots.txt		(from http://www.comebackearlytoday.com/)
